,COAST,EAST,ERCOT,FWEST,NCENT,NORTH,OTHER,SCENT,SOUTH,WEST
2013-01-01 00:00:00-06:00,0.7715186,0.29625705,0.41948253,0.50809133,0.3052075,0.3373693,0.37290797,0.3124341,0.38676706,0.5126941
2013-01-01 00:30:00-06:00,0.77680856,0.33681384,0.41999236,0.5278445,0.30338532,0.3329984,0.36501014,0.35621804,0.36180505,0.50418264
2013-01-01 01:00:00-06:00,0.7489897,0.35889032,0.41999197,0.54406536,0.31023306,0.32209402,0.35205638,0.3763993,0.35200348,0.51088846
2013-01-01 01:30:00-06:00,0.7316709,0.38395438,0.41578645,0.5535474,0.31404862,0.3325003,0.3353645,0.3784801,0.3392549,0.4973287
2013-01-01 02:00:00-06:00,0.7424338,0.39406943,0.41282508,0.5526767,0.31174716,0.34393567,0.32630822,0.4102625,0.31416658,0.4915701
2013-01-01 02:30:00-06:00,0.7300995,0.4145811,0.4027644,0.5421328,0.30902368,0.3552679,0.31306666,0.44052133,0.2798075,0.46903354
2013-01-01 03:00:00-06:00,0.65778965,0.43515325,0.39091942,0.5279461,0.3129531,0.3415492,0.30125117,0.48699784,0.25976312,0.44518808
2013-01-01 03:30:00-06:00,0.5692906,0.45653638,0.3817697,0.5104741,0.3248953,0.34945682,0.29518726,0.5240117,0.2521068,0.41220832
2013-01-01 04:00:00-06:00,0.5235616,0.45023847,0.37370324,0.4859728,0.3272598,0.340376,0.27991572,0.5939937,0.24144608,0.41200256
2013-01-01 04:30:00-06:00,0.54402786,0.45559704,0.37700713,0.49091703,0.33189124,0.3350587,0.26089987,0.6375618,0.26217353,0.417158
2013-01-01 05:00:00-06:00,0.5981002,0.4392998,0.37966976,0.490877,0.33482075,0.30969483,0.24847957,0.65575045,0.29409742,0.4214802
2013-01-01 05:30:00-06:00,0.6278167,0.4323205,0.3830125,0.49301115,0.34321234,0.30149683,0.23081839,0.61643,0.33421052,0.44277903
2013-01-01 06:00:00-06:00,0.6462884,0.43091747,0.3922833,0.5033706,0.34605068,0.29612744,0.22147731,0.6348213,0.3839501,0.45484123
2013-01-01 06:30:00-06:00,0.6970265,0.41837305,0.4027555,0.5123375,0.3765854,0.2910062,0.2084993,0.674775,0.428417,0.44857472
2013-01-01 07:00:00-06:00,0.7716341,0.41564956,0.41682053,0.50371945,0.4050638,0.2944123,0.20052889,0.6887597,0.5044928,0.4535464
2013-01-01 07:30:00-06:00,0.7954984,0.38596502,0.4237616,0.4861582,0.3998937,0.29658616,0.18853717,0.7124755,0.57655865,0.47292212
2013-01-01 08:00:00-06:00,0.82227373,0.36995205,0.41947752,0.45991156,0.40228632,0.2833958,0.17593001,0.7105145,0.6200678,0.46085095
2013-01-01 08:30:00-06:00,0.828398,0.37834525,0.39988706,0.40247574,0.41281962,0.26560116,0.16051088,0.6902674,0.63717055,0.41484225
2013-01-01 09:00:00-06:00,0.83252406,0.35236603,0.37686345,0.32693586,0.42493686,0.2584422,0.14838417,0.67577326,0.659737,0.3530033
2013-01-01 09:30:00-06:00,0.7956425,0.3168785,0.35998234,0.26456118,0.43364707,0.23817927,0.13684127,0.6433666,0.6955615,0.33746523
2013-01-01 10:00:00-06:00,0.76484716,0.34834716,0.35477513,0.24474289,0.4359508,0.21330082,0.12990646,0.63889253,0.7271609,0.33014145
2013-01-01 10:30:00-06:00,0.7651777,0.3588982,0.35029644,0.22460423,0.44135955,0.193711,0.12440631,0.6635647,0.74238557,0.31693134
2013-01-01 11:00:00-06:00,0.74021417,0.36959234,0.34377822,0.19876249,0.42714772,0.18035676,0.11762401,0.6998706,0.7615552,0.31001955
2013-01-01 11:30:00-06:00,0.6962543,0.37037325,0.33617598,0.17524824,0.41915563,0.17123745,0.11176992,0.72380364,0.7731496,0.3016508
2013-01-01 12:00:00-06:00,0.67814934,0.35779893,0.3252755,0.14459519,0.40670627,0.16611128,0.10946076,0.739921,0.7603732,0.29387447
2013-01-01 12:30:00-06:00,0.674567,0.35176507,0.3182877,0.12014605,0.3896368,0.1559857,0.10968688,0.76311916,0.7613661,0.28825134
2013-01-01 13:00:00-06:00,0.6317742,0.3537023,0.30544737,0.095844075,0.3725248,0.1485562,0.10736596,0.756809,0.750191,0.27594566
2013-01-01 13:30:00-06:00,0.61596704,0.3509403,0.2926123,0.07801715,0.35924077,0.1427864,0.10201348,0.73747164,0.72838336,0.26337698
2013-01-01 14:00:00-06:00,0.5821094,0.3553498,0.28158504,0.05955932,0.3582043,0.13701123,0.09753348,0.71564513,0.7170925,0.24899502
2013-01-01 14:30:00-06:00,0.59949255,0.36035404,0.27471477,0.045541722,0.35792622,0.14000176,0.09413363,0.6921232,0.7030035,0.23858884
2013-01-01 15:00:00-06:00,0.5860691,0.36823332,0.264465,0.035996046,0.35584325,0.14243492,0.09073228,0.6570262,0.67801183,0.2226967
2013-01-01 15:30:00-06:00,0.549154,0.3773799,0.2551192,0.030743087,0.36220074,0.1424051,0.08660864,0.61683816,0.65232944,0.21292824
2013-01-01 16:00:00-06:00,0.5076494,0.38496763,0.24698155,0.02609057,0.3618691,0.14357674,0.08017248,0.5877845,0.6233245,0.21987201
2013-01-01 16:30:00-06:00,0.44754657,0.36534902,0.23426016,0.02285853,0.35673183,0.14526153,0.07423375,0.56466705,0.5748352,0.21913464
2013-01-01 17:00:00-06:00,0.46894997,0.4370629,0.23345023,0.024005674,0.360237,0.16322836,0.07540254,0.5396176,0.5363783,0.2233652
2013-01-01 17:30:00-06:00,0.5172365,0.53166413,0.25042352,0.03645382,0.4028686,0.19663058,0.085394956,0.5303713,0.5200816,0.24652004
2013-01-01 18:00:00-06:00,0.5262411,0.5860926,0.2669964,0.050411403,0.43633592,0.21725138,0.089958526,0.54505163,0.53266025,0.27122563
2013-01-01 18:30:00-06:00,0.55190504,0.6219457,0.27982184,0.06467949,0.4576907,0.2349949,0.089308016,0.56498843,0.5375949,0.2914158
2013-01-01 19:00:00-06:00,0.5594953,0.6543848,0.29155397,0.0834491,0.47337213,0.23797014,0.090084895,0.572518,0.5461349,0.31722444
2013-01-01 19:30:00-06:00,0.6168998,0.6529031,0.2999945,0.09063615,0.49436066,0.24159382,0.09087915,0.5548631,0.54012305,0.34389904
2013-01-01 20:00:00-06:00,0.65514284,0.6505769,0.30379057,0.10234728,0.5051408,0.2477332,0.09185693,0.5496683,0.5098982,0.3597562
2013-01-01 20:30:00-06:00,0.67185384,0.6346386,0.30897522,0.12204436,0.5064325,0.24286179,0.09169808,0.5673159,0.49956506,0.37268093
2013-01-01 21:00:00-06:00,0.6469833,0.60423714,0.31159773,0.13613875,0.49750203,0.24081922,0.092935555,0.57792014,0.50640404,0.3805145
2013-01-01 21:30:00-06:00,0.65715855,0.5764813,0.3116782,0.1516466,0.48586607,0.21910492,0.09285184,0.59581715,0.5045128,0.3794438
2013-01-01 22:00:00-06:00,0.6491362,0.5494952,0.3050709,0.16334777,0.463446,0.18431538,0.09443102,0.6123699,0.4855848,0.37092757
2013-01-01 22:30:00-06:00,0.63484687,0.5344888,0.29772744,0.15447608,0.4445566,0.16304678,0.09217139,0.6282372,0.4821126,0.36603293
2013-01-01 23:00:00-06:00,0.6359251,0.5255425,0.29223454,0.16129409,0.41604874,0.14056523,0.09003826,0.6346671,0.4754204,0.36306545
2013-01-01 23:30:00-06:00,0.63281244,0.50024503,0.28532204,0.17049265,0.38144618,0.11705226,0.09243831,0.6282998,0.46882862,0.3534257
2013-01-02 00:00:00-06:00,0.64474416,0.4720127,0.27951527,0.17169729,0.35981205,0.09989513,0.09387168,0.6081171,0.4747711,0.33967948
2013-01-02 00:30:00-06:00,0.63122314,0.46198276,0.27327728,0.17079186,0.33440477,0.08622232,0.096580364,0.5999403,0.477389,0.3273283
2013-01-02 01:00:00-06:00,0.5975499,0.433107,0.26491147,0.17092721,0.2960679,0.07347446,0.099661805,0.59773266,0.48462275,0.30957285
2013-01-02 01:30:00-06:00,0.60235745,0.3920677,0.25543922,0.16745909,0.25583783,0.06255482,0.101986766,0.5813314,0.49553305,0.28312024
2013-01-02 02:00:00-06:00,0.6102168,0.36203173,0.24796754,0.16662511,0.22932787,0.05328708,0.10836743,0.57803565,0.48980182,0.25571212
2013-01-02 02:30:00-06:00,0.6129532,0.33772373,0.24002363,0.15689036,0.19891581,0.04770525,0.119113296,0.5695571,0.49083558,0.22713824
2013-01-02 03:00:00-06:00,0.6021716,0.30346513,0.2324296,0.14561121,0.17334229,0.042291135,0.13135159,0.5538113,0.49542704,0.20186444
2013-01-02 03:30:00-06:00,0.6059241,0.273256,0.22460751,0.13575155,0.15147139,0.037447028,0.13847326,0.5202257,0.49956393,0.18095644
2013-01-02 04:00:00-06:00,0.58078796,0.24637817,0.21340622,0.12411752,0.13274813,0.034609713,0.14584833,0.49934703,0.47693998,0.16079666
2013-01-02 04:30:00-06:00,0.5737158,0.22024634,0.2041708,0.114167795,0.11492388,0.031752568,0.15678076,0.47771913,0.4566274,0.13869576
2013-01-02 05:00:00-06:00,0.5829184,0.19406727,0.19761713,0.10887922,0.098825306,0.027239596,0.16827884,0.45200807,0.44224122,0.11994853
2013-01-02 05:30:00-06:00,0.56507844,0.17585585,0.19046682,0.101682276,0.0876684,0.023863,0.1780916,0.42828843,0.42799562,0.10335924
2013-01-02 06:00:00-06:00,0.5307038,0.16764896,0.18331109,0.096644014,0.077359065,0.022758128,0.18728697,0.40934756,0.40916514,0.08827277
2013-01-02 06:30:00-06:00,0.5072153,0.1550144,0.17762983,0.09284323,0.069527484,0.02313003,0.19854619,0.3987365,0.38265222,0.07680278
2013-01-02 07:00:00-06:00,0.4845368,0.1384272,0.17396404,0.092978545,0.062026326,0.027463576,0.2066635,0.3758484,0.36871904,0.07094129
2013-01-02 07:30:00-06:00,0.44688258,0.12293005,0.17092349,0.098606244,0.05925398,0.034564383,0.21439834,0.350693,0.3502848,0.06636909
2013-01-02 08:00:00-06:00,0.40615562,0.10201465,0.16538651,0.100045234,0.052192833,0.045135505,0.22012097,0.31518412,0.33347887,0.058413092
2013-01-02 08:30:00-06:00,0.40196198,0.07949594,0.1566029,0.08231016,0.04290692,0.048045594,0.2198556,0.2994577,0.3206146,0.047564793
2013-01-02 09:00:00-06:00,0.39715698,0.073562056,0.1397792,0.05923905,0.04234966,0.03889441,0.18898797,0.27820203,0.3053807,0.03950466
2013-01-02 09:30:00-06:00,0.36434382,0.072805814,0.120518506,0.045653798,0.0434549,0.023201715,0.14601487,0.26837435,0.28213733,0.03408281
2013-01-02 10:00:00-06:00,0.32812008,0.07535927,0.103749655,0.04025646,0.047346666,0.01373905,0.10049268,0.25288883,0.26509476,0.030681165
2013-01-02 10:30:00-06:00,0.3064301,0.07555986,0.09474479,0.034367416,0.050418258,0.012133673,0.08368008,0.23347142,0.25013325,0.027767332
2013-01-02 11:00:00-06:00,0.28967896,0.07478554,0.089661494,0.028993074,0.05096585,0.01169686,0.08194482,0.22218902,0.23451176,0.024767192
2013-01-02 11:30:00-06:00,0.26916918,0.07258696,0.08577964,0.027799467,0.050762907,0.011345089,0.08292989,0.21602108,0.21656932,0.022171495
2013-01-02 12:00:00-06:00,0.255529,0.074144796,0.0824935,0.027446982,0.05067242,0.011382287,0.082034074,0.21339586,0.20043726,0.019860703
2013-01-02 12:30:00-06:00,0.2404807,0.07958059,0.07973616,0.02817284,0.05212401,0.012007596,0.08145648,0.20929353,0.18405636,0.018418007
2013-01-02 13:00:00-06:00,0.22934444,0.08359631,0.07816145,0.028972967,0.05362849,0.01266982,0.08264644,0.2004211,0.17408471,0.017629178
2013-01-02 13:30:00-06:00,0.22472697,0.08409376,0.076897465,0.030228736,0.053919468,0.012417448,0.083675444,0.18939888,0.1675078,0.016726144
2013-01-02 14:00:00-06:00,0.22923665,0.084967434,0.07562682,0.03357069,0.05388311,0.011540528,0.083162755,0.17925094,0.15733233,0.016345274
2013-01-02 14:30:00-06:00,0.2304153,0.08325963,0.075305186,0.03806867,0.052166194,0.011305006,0.083484285,0.17451602,0.15152597,0.016032029
2013-01-02 15:00:00-06:00,0.23032644,0.077648364,0.075058974,0.044920612,0.049209423,0.011119132,0.08326799,0.17078432,0.14502844,0.016118728
2013-01-02 15:30:00-06:00,0.22428416,0.07254534,0.07479477,0.055109434,0.04439503,0.011306387,0.08206351,0.16657552,0.13834134,0.016516287
2013-01-02 16:00:00-06:00,0.22050108,0.068797596,0.075303964,0.0694876,0.03998422,0.012076492,0.07872215,0.16011123,0.13447134,0.017163757
2013-01-02 16:30:00-06:00,0.21391751,0.059558183,0.08000188,0.088562496,0.03440381,0.014681518,0.08778496,0.15329409,0.13328353,0.020284548
2013-01-02 17:00:00-06:00,0.20753019,0.056103475,0.09056047,0.11495822,0.03305555,0.02088554,0.107762784,0.14448136,0.1331368,0.030976653
2013-01-02 17:30:00-06:00,0.21385583,0.054227535,0.108771764,0.15475193,0.037819065,0.02923015,0.1317684,0.15370966,0.13316652,0.054418575
2013-01-02 18:00:00-06:00,0.22371328,0.054023527,0.13027671,0.20443606,0.042424314,0.03136375,0.16174708,0.15632847,0.1351952,0.08219398
2013-01-02 18:30:00-06:00,0.21846308,0.05375337,0.15076028,0.24727386,0.046052802,0.032955088,0.19379933,0.1601787,0.14281754,0.108456224
2013-01-02 19:00:00-06:00,0.21446745,0.061035234,0.16814737,0.2837675,0.046085894,0.038594015,0.217313,0.17175029,0.15173055,0.12953855
2013-01-02 19:30:00-06:00,0.21989018,0.07188696,0.18530186,0.32393473,0.042542603,0.042692583,0.24291162,0.18173857,0.15878716,0.14337066
2013-01-02 20:00:00-06:00,0.23441567,0.08071891,0.20041531,0.3631297,0.042521395,0.04289301,0.269721,0.19490556,0.15906343,0.14371343
2013-01-02 20:30:00-06:00,0.2636943,0.08579538,0.21359202,0.392032,0.042362623,0.047075734,0.2945581,0.20771591,0.15758978,0.142713
2013-01-02 21:00:00-06:00,0.28207174,0.08819449,0.22409734,0.4144919,0.0423137,0.053131256,0.30786797,0.21809085,0.16053277,0.14963774
2013-01-02 21:30:00-06:00,0.28671306,0.08658652,0.23241752,0.43258834,0.042586174,0.060551032,0.3118123,0.23535542,0.16218139,0.16416165
2013-01-02 22:00:00-06:00,0.28593713,0.08596947,0.24070036,0.4491502,0.045011196,0.07882945,0.3165727,0.24548037,0.15949802,0.17855395
2013-01-02 22:30:00-06:00,0.29384223,0.08611688,0.24663818,0.45248652,0.049812272,0.10424102,0.32167295,0.26143375,0.15727575,0.18114167
2013-01-02 23:00:00-06:00,0.30959487,0.09423253,0.2522482,0.4502013,0.055155266,0.13546409,0.32064235,0.28246468,0.15865889,0.18612322
2013-01-02 23:30:00-06:00,0.31895596,0.110733196,0.26060456,0.45635888,0.06373462,0.1843789,0.3187628,0.30703768,0.16458918,0.1816687
2013-01-03 00:00:00-06:00,0.31928572,0.12607285,0.26718247,0.45130298,0.07444607,0.2411182,0.31872603,0.33097455,0.16640814,0.17644607
2013-01-03 00:30:00-06:00,0.3229245,0.1365599,0.27304113,0.4524774,0.09196117,0.27701578,0.32068548,0.34443215,0.16896851,0.16559114
2013-01-03 01:00:00-06:00,0.33364904,0.14470524,0.28030333,0.4502226,0.12374326,0.29552746,0.32770452,0.3550091,0.1713959,0.16045257
2013-01-03 01:30:00-06:00,0.34740102,0.16230914,0.2880336,0.44920596,0.16580455,0.29228228,0.33088216,0.36899757,0.17798243,0.16184498
2013-01-03 02:00:00-06:00,0.36889768,0.19093986,0.2987767,0.44902536,0.21350104,0.29078493,0.33207393,0.38467833,0.18986857,0.17214717
2013-01-03 02:30:00-06:00,0.38527846,0.23343864,0.310221,0.4429733,0.2525001,0.303848,0.33384869,0.40252015,0.20339882,0.18928814
2013-01-03 03:00:00-06:00,0.3986192,0.2698486,0.32383955,0.44692266,0.29375392,0.31828067,0.3336776,0.41847903,0.22321053,0.2059383
2013-01-03 03:30:00-06:00,0.41480833,0.2993603,0.33832932,0.44742835,0.33340767,0.3321161,0.3360189,0.4409147,0.24042504,0.23108757
2013-01-03 04:00:00-06:00,0.43568215,0.33511743,0.35333174,0.45322484,0.36690247,0.33948383,0.33753258,0.463748,0.25890377,0.2598503
2013-01-03 04:30:00-06:00,0.45666718,0.37182835,0.36495367,0.45308167,0.39165828,0.34626603,0.33000678,0.49117976,0.27989355,0.2904675
2013-01-03 05:00:00-06:00,0.4794791,0.40181255,0.3748254,0.4408614,0.42084548,0.35206735,0.32645082,0.5159946,0.3001712,0.31734875
2013-01-03 05:30:00-06:00,0.49954358,0.42336294,0.38893878,0.4426058,0.45441473,0.36258906,0.32874852,0.5430205,0.31592068,0.34483504
2013-01-03 06:00:00-06:00,0.50735915,0.4422826,0.4006352,0.45065352,0.48648116,0.36585706,0.32697046,0.56820285,0.33225903,0.36313576
2013-01-03 06:30:00-06:00,0.5146545,0.4567002,0.40945625,0.44785956,0.5164164,0.36581165,0.32786405,0.5859013,0.3530322,0.3745956
2013-01-03 07:00:00-06:00,0.5129072,0.46946967,0.41392615,0.44106686,0.53497237,0.36672452,0.3303018,0.5957717,0.36948612,0.3760264
2013-01-03 07:30:00-06:00,0.49700513,0.4640443,0.41378677,0.4350861,0.5455021,0.36585012,0.32439643,0.60786927,0.38559645,0.37077987
2013-01-03 08:00:00-06:00,0.46841794,0.35459027,0.38596874,0.43629035,0.4687301,0.33834982,0.29609165,0.5569582,0.38793212,0.33859095
2013-01-03 08:30:00-06:00,0.43959883,0.20073801,0.33208436,0.43147257,0.3265236,0.25522268,0.24729167,0.46821067,0.39747018,0.2650553
2013-01-03 09:00:00-06:00,0.41227397,0.09750517,0.2684944,0.39358485,0.1807121,0.16135539,0.1999365,0.37287793,0.4037347,0.17126875
2013-01-03 09:30:00-06:00,0.38443324,0.09070282,0.23912258,0.3925831,0.1340342,0.09548647,0.16168524,0.3176016,0.40974373,0.13080654
2013-01-03 10:00:00-06:00,0.35959083,0.10913729,0.23925604,0.42006633,0.13405524,0.08874698,0.14533797,0.28789338,0.40871963,0.14381018
2013-01-03 10:30:00-06:00,0.33024004,0.13244276,0.24848828,0.4433885,0.14332476,0.08665332,0.14519994,0.28270513,0.41156098,0.17812108
2013-01-03 11:00:00-06:00,0.30481085,0.14721736,0.2561798,0.47372368,0.14984502,0.08360018,0.14561082,0.28132218,0.41860232,0.18820778
2013-01-03 11:30:00-06:00,0.28801647,0.15776458,0.2530018,0.4778818,0.14629488,0.081286184,0.14282249,0.28117883,0.41273665,0.17726193
2013-01-03 12:00:00-06:00,0.26940608,0.16141139,0.24680549,0.48141795,0.13662161,0.07396196,0.13940316,0.28527352,0.3988203,0.16174068
2013-01-03 12:30:00-06:00,0.26530176,0.16205996,0.24404128,0.48885298,0.12431866,0.06339458,0.1356332,0.29647225,0.3935653,0.15615463
2013-01-03 13:00:00-06:00,0.2686168,0.15708864,0.2396642,0.48760778,0.11040073,0.05173662,0.13170424,0.30299324,0.3898588,0.15214445
2013-01-03 13:30:00-06:00,0.257901,0.14635679,0.2350292,0.4906722,0.10113687,0.039046597,0.12920405,0.30096567,0.3823997,0.14676164
2013-01-03 14:00:00-06:00,0.25340042,0.14877576,0.22963826,0.48224512,0.09735949,0.028796181,0.12854993,0.2989766,0.36582953,0.14687459
2013-01-03 14:30:00-06:00,0.24957828,0.147572,0.22472589,0.47612965,0.09643943,0.020326275,0.1278115,0.29025462,0.34962174,0.1466971
2013-01-03 15:00:00-06:00,0.2502497,0.14978166,0.21801606,0.46456924,0.09097797,0.013664688,0.12764159,0.28541124,0.33615488,0.1364856
2013-01-03 15:30:00-06:00,0.25928888,0.1531605,0.21118847,0.45051298,0.086141214,0.009807091,0.12714517,0.27956298,0.31738508,0.12962118
2013-01-03 16:00:00-06:00,0.28700522,0.15135771,0.20511925,0.43661237,0.07739659,0.007654268,0.12706977,0.27217764,0.30250046,0.121767536
2013-01-03 16:30:00-06:00,0.32953632,0.15710934,0.20251481,0.42536083,0.07087514,0.008484586,0.13092731,0.27166352,0.28901467,0.11555647
2013-01-03 17:00:00-06:00,0.35526967,0.18165667,0.20381726,0.41228312,0.076448426,0.01022327,0.14140567,0.27998945,0.27429402,0.118396595
2013-01-03 17:30:00-06:00,0.3811627,0.1889566,0.21002208,0.40145105,0.086535476,0.010369516,0.15370846,0.3170371,0.27233002,0.1272769
2013-01-03 18:00:00-06:00,0.3919477,0.18813467,0.21373585,0.39404523,0.08614572,0.008702513,0.16557378,0.3387913,0.27433473,0.13222618
2013-01-03 18:30:00-06:00,0.41588733,0.1915927,0.21836463,0.3871134,0.08264838,0.007803854,0.17847005,0.34665415,0.27984402,0.14150567
2013-01-03 19:00:00-06:00,0.41751668,0.20686871,0.2226126,0.381132,0.077996545,0.007806081,0.19320561,0.34577996,0.2889817,0.1491357
2013-01-03 19:30:00-06:00,0.4231242,0.22552407,0.2286628,0.37346816,0.07756603,0.006796423,0.21231973,0.35880882,0.29316315,0.15920448
2013-01-03 20:00:00-06:00,0.43394333,0.2407686,0.23272422,0.35539973,0.08065248,0.006763634,0.23437534,0.38101372,0.28531858,0.16668943
2013-01-03 20:30:00-06:00,0.465649,0.25624332,0.23722161,0.3401987,0.082073115,0.008582363,0.257045,0.39771885,0.26961812,0.17575847
2013-01-03 21:00:00-06:00,0.47529837,0.27298,0.2395658,0.3238686,0.08439075,0.009814293,0.28159088,0.3989592,0.2633066,0.17126583
2013-01-03 21:30:00-06:00,0.46327493,0.28525034,0.24191654,0.30414334,0.08501799,0.011101447,0.3123231,0.410545,0.26069498,0.16192818
2013-01-03 22:00:00-06:00,0.45827734,0.28461367,0.24375103,0.28455886,0.08269649,0.011951993,0.34474346,0.42910725,0.25808373,0.14547034
2013-01-03 22:30:00-06:00,0.4623473,0.29973054,0.24388543,0.25921687,0.082844995,0.012303006,0.3764783,0.44567958,0.25027406,0.124437414
2013-01-03 23:00:00-06:00,0.45368162,0.30861276,0.24570838,0.25022614,0.08347129,0.01442718,0.40802893,0.45133257,0.24304087,0.100759126
2013-01-03 23:30:00-06:00,0.4403389,0.30359542,0.24545304,0.2377399,0.08142144,0.01816105,0.43729416,0.42981032,0.23717952,0.08506878
2013-01-04 00:00:00-06:00,0.4324863,0.30601957,0.2449732,0.22638829,0.08081811,0.02241419,0.46242708,0.39790264,0.23290633,0.07165709
2013-01-04 00:30:00-06:00,0.40763354,0.30457813,0.2422793,0.2045864,0.08044614,0.025905937,0.48897785,0.36547682,0.23009272,0.05883814
2013-01-04 01:00:00-06:00,0.38052693,0.28936562,0.24019623,0.18967362,0.07724064,0.02951607,0.5153825,0.31548968,0.23467416,0.046734966
2013-01-04 01:30:00-06:00,0.35959718,0.25947618,0.23815766,0.16883992,0.07274838,0.035724424,0.53307635,0.25591376,0.25744435,0.044691242
2013-01-04 02:00:00-06:00,0.34779882,0.24419299,0.23794751,0.15134183,0.0679793,0.043359876,0.5418299,0.21260254,0.2883613,0.04667935
2013-01-04 02:30:00-06:00,0.35197505,0.2236691,0.24106589,0.14241415,0.052037984,0.05283788,0.54598176,0.20826402,0.32461712,0.052096456
2013-01-04 03:00:00-06:00,0.3545594,0.19803731,0.24165879,0.13009734,0.03374217,0.06379536,0.5459673,0.21385904,0.36179104,0.047946155
2013-01-04 03:30:00-06:00,0.36792699,0.1615743,0.24395114,0.1164454,0.021779316,0.073577404,0.54592484,0.22194812,0.40087855,0.049262386
2013-01-04 04:00:00-06:00,0.39262655,0.12026345,0.24558726,0.10061193,0.01527844,0.08006456,0.54476297,0.22680484,0.43680117,0.049883023
2013-01-04 04:30:00-06:00,0.4253119,0.08777434,0.24857281,0.092877485,0.012041498,0.08315986,0.54431546,0.22519211,0.46401998,0.05455263
2013-01-04 05:00:00-06:00,0.4480259,0.06639005,0.25143236,0.08814108,0.011157271,0.08794603,0.5384192,0.21414404,0.4962769,0.060854092
2013-01-04 05:30:00-06:00,0.4885081,0.046336256,0.2514273,0.08458524,0.011715223,0.09097766,0.5293231,0.19862899,0.5137501,0.059803173
2013-01-04 06:00:00-06:00,0.5381988,0.032858457,0.2494581,0.08314884,0.011820413,0.09284144,0.5144249,0.17973214,0.51861763,0.06158614
2013-01-04 06:30:00-06:00,0.56637007,0.025671424,0.24924359,0.085723296,0.012143152,0.09582422,0.5052367,0.17987941,0.52403045,0.057320103
2013-01-04 07:00:00-06:00,0.5704712,0.02582807,0.24936517,0.086538106,0.013196282,0.09643624,0.50093985,0.19446228,0.5264493,0.053556904
2013-01-04 07:30:00-06:00,0.5541716,0.021018958,0.24509528,0.08194929,0.013953013,0.098237015,0.49712247,0.1904702,0.5144939,0.05137463
2013-01-04 08:00:00-06:00,0.5368929,0.017277466,0.2383005,0.076224126,0.015583333,0.09671218,0.4902734,0.17871492,0.5025315,0.04218251
2013-01-04 08:30:00-06:00,0.51660055,0.013644749,0.22002967,0.061877992,0.012007462,0.08533299,0.4459173,0.17467123,0.48950976,0.03333894
2013-01-04 09:00:00-06:00,0.50059235,0.008203084,0.1890776,0.04719589,0.004564385,0.062164616,0.354134,0.15834619,0.47329986,0.029791003
2013-01-04 09:30:00-06:00,0.485731,0.004363239,0.16030237,0.0402027,0.002223957,0.04199433,0.25848514,0.14465289,0.4606589,0.026960853
2013-01-04 10:00:00-06:00,0.45361295,0.004106681,0.14283843,0.033561867,0.00262655,0.04689434,0.20663904,0.13106453,0.44368413,0.022529881
2013-01-04 10:30:00-06:00,0.42468226,0.005318193,0.13613297,0.026367834,0.003194135,0.051653817,0.1991786,0.117778525,0.42844543,0.020124398
2013-01-04 11:00:00-06:00,0.40452585,0.007338718,0.13215514,0.019445319,0.004571715,0.055732653,0.20465161,0.09725697,0.4102848,0.018289927
2013-01-04 11:30:00-06:00,0.38751817,0.009687964,0.1303162,0.014487741,0.005678854,0.05910491,0.2132317,0.08969013,0.3931523,0.017617691
2013-01-04 12:00:00-06:00,0.36595628,0.01300649,0.12955874,0.010679316,0.007241566,0.06290189,0.22520623,0.08150939,0.37775695,0.016796712
2013-01-04 12:30:00-06:00,0.34804404,0.014866483,0.12897919,0.008255877,0.009398755,0.06447657,0.23663695,0.072530165,0.36257255,0.01653504
2013-01-04 13:00:00-06:00,0.33664918,0.015793795,0.12825531,0.006878616,0.010688774,0.068882644,0.24548388,0.0666928,0.34529546,0.015782349
2013-01-04 13:30:00-06:00,0.30758116,0.013318359,0.12553135,0.005996997,0.012428381,0.073776126,0.24760023,0.057632674,0.33066082,0.015002653
2013-01-04 14:00:00-06:00,0.27050787,0.013021968,0.12371927,0.004957184,0.014516307,0.07875337,0.2507962,0.04843559,0.32421988,0.013567287
2013-01-04 14:30:00-06:00,0.23722239,0.012618923,0.120866284,0.004876278,0.015288639,0.078483686,0.25367397,0.042386763,0.3109331,0.012159185
2013-01-04 15:00:00-06:00,0.22385514,0.014080825,0.12009393,0.005390018,0.014736328,0.08330556,0.2557775,0.039462745,0.30223376,0.012479609
2013-01-04 15:30:00-06:00,0.20315276,0.014311709,0.11834995,0.005482351,0.017408768,0.09066184,0.25567114,0.03928175,0.28691655,0.012933668
2013-01-04 16:00:00-06:00,0.18616255,0.014468822,0.11799848,0.006276684,0.021657368,0.0995448,0.25701612,0.039514806,0.2751352,0.013353061
2013-01-04 16:30:00-06:00,0.17648122,0.014616259,0.12285693,0.010535229,0.027277963,0.10962352,0.27532807,0.0358197,0.2630311,0.016461438
2013-01-04 17:00:00-06:00,0.17600462,0.02079997,0.14019014,0.014936718,0.034303106,0.124489576,0.34130433,0.03128085,0.25411052,0.020071998
2013-01-04 17:30:00-06:00,0.17893477,0.032145053,0.16385219,0.020239938,0.04776663,0.15039696,0.4218257,0.03672121,0.24652353,0.024567898
2013-01-04 18:00:00-06:00,0.17860213,0.04080373,0.18878752,0.027386129,0.061701816,0.18619442,0.5019133,0.039965563,0.24167868,0.029407637
